ticker,name,gics_sector,gics_industry,source
SOLV,Solventum,Health Care,Health Care Technology,sp500
SPG,Simon Property Group,Real Estate,Retail REITs,sp500
SPGI,S&P Global,Financials,Financial Exchanges & Data,sp500
SRE,Sempra,Utilities,Multi-Utilities,sp500
STE,Steris,Health Care,Health Care Equipment,sp500
STLD,Steel Dynamics,Materials,Steel,sp500
STT,State Street Corporation,Financials,Asset Management & Custody Banks,sp500
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",ndx100+sp500
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,sp500
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,sp500
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,sp500
SWKS,Skyworks Solutions,Information Technology,Semiconductors,sp500
SYF,Synchrony Financial,Financials,Consumer Finance,sp500
SYK,Stryker Corporation,Health Care,Health Care Equipment,sp500
SYY,Sysco,Consumer Staples,Food Distributors,sp500
T,AT&T,Communication Services,Integrated Telecommunication Services,sp500
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,sp500
TDG,TransDigm Group,Industrials,Aerospace & Defense,sp500
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,sp500
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,sp500
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,sp500
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,sp500
TFC,Truist Financial,Financials,Diversified Banks,sp500
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,sp500
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,sp500
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,sp500
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,sp500
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,ndx100+sp500
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,sp500
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,sp500
TRI,Thomson Reuters,Computer Software,Technology,ndx100
TRMB,Trimble Inc.,Information Technology,Application Software,sp500
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,sp500
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,sp500
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,sp500
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,ndx100+sp500
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,sp500
TT,Trane Technologies,Industrials,Building Products,sp500
TTD,Trade Desk (The),Communication Services,Advertising,sp500
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,ndx100+sp500
TXN,Texas Instruments,Information Technology,Semiconductors,ndx100+sp500
TXT,Textron,Industrials,Aerospace & Defense,sp500
TYL,Tyler Technologies,Information Technology,Application Software,sp500
UAL,United Airlines Holdings,Industrials,Passenger Airlines,sp500
UBER,Uber,Industrials,Passenger Ground Transportation,sp500
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,sp500
UHS,Universal Health Services,Health Care,Health Care Facilities,sp500
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,sp500
UNH,UnitedHealth Group,Health Care,Managed Health Care,sp500
UNP,Union Pacific Corporation,Industrials,Rail Transportation,sp500
UPS,United Parcel Service,Industrials,Air Freight & Logistics,sp500
URI,United Rentals,Industrials,Trading Companies & Distributors,sp500
USB,U.S. Bancorp,Financials,Diversified Banks,sp500
V,Visa Inc.,Financials,Transaction & Payment Processing Services,sp500
VEEV,Veeva Systems,Health Care,Health Care Technology,sp500
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,sp500
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,sp500
VLTO,Veralto,Industrials,Environmental & Facilities Services,sp500
VMC,Vulcan Materials Company,Materials,Construction Materials,sp500
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,ndx100+sp500
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,sp500
VRT,Vertiv,Industrials,Electrical Components & Equipment,sp500
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,ndx100+sp500
VST,Vistra Corp.,Utilities,Electric Utilities,sp500
VTR,Ventas,Real Estate,Health Care REITs,sp500
VTRS,Viatris,Health Care,Pharmaceuticals,sp500
VZ,Verizon,Communication Services,Integrated Telecommunication Services,sp500
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,sp500
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,ndx100+sp500
WDAY,"Workday, Inc.",Information Technology,Application Software,ndx100+sp500
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",ndx100+sp500
WEC,WEC Energy Group,Utilities,Electric Utilities,sp500
WELL,Welltower,Real Estate,Health Care REITs,sp500
WFC,Wells Fargo,Financials,Diversified Banks,sp500
WM,Waste Management,Industrials,Environmental & Facilities Services,sp500
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,sp500
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,ndx100+sp500
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,sp500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,sp500
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,sp500
WTW,Willis Towers Watson,Financials,Insurance Brokers,sp500
WY,Weyerhaeuser,Real Estate,Timber REITs,sp500
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,sp500
XEL,Xcel Energy,Utilities,Multi-Utilities,ndx100+sp500
XOM,ExxonMobil,Energy,Integrated Oil & Gas,sp500
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,sp500
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,sp500
YUM,Yum! Brands,Consumer Discretionary,Restaurants,sp500
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,sp500
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,sp500
ZS,Zscaler,EDP Services,Technology,ndx100
ZTS,Zoetis,Health Care,Pharmaceuticals,sp500
