date,open,high,low,close,volume
2025-04-01,104.45,107.49,104.02,106.23,127233
2025-04-02,106.23,109.59,105.86,108.32,151960
2025-04-03,108.32,110.9,107.45,109.74,102548
2025-04-04,109.74,111.82,109.49,111.5,108915
2025-04-07,111.5,113.06,111.1,112.2,131198
2025-04-08,112.2,113.19,111.73,112.02,80703
2025-04-09,112.02,116.6,111.68,115.36,168095
2025-04-10,115.36,115.57,114.28,114.38,246453
2025-04-11,114.38,117.12,113.76,116.31,112274
2025-04-14,116.31,117.5,115.32,116.69,233660
2025-04-15,116.69,118.97,116.04,117.88,219895
2025-04-16,117.88,118.04,116.52,116.61,235857
2025-04-17,116.61,117.04,115.14,116.31,120586
2025-04-18,116.31,116.79,115.79,116.75,192785
2025-04-21,116.75,121.14,116.4,120.66,228599
2025-04-22,120.66,121.02,116.43,117.07,118026
2025-04-23,117.07,117.82,115.28,115.48,80860
2025-04-24,115.48,115.89,115.29,115.42,102906
2025-04-25,115.42,118.59,115.17,117.53,203740
2025-04-28,117.53,118.66,117.07,117.5,57374
2025-04-29,117.5,118.34,114.69,115.14,168501
2025-04-30,115.14,116.17,113.27,114.09,152206
2025-05-01,114.09,114.24,112.62,112.91,130803
2025-05-02,112.91,113.37,112.26,112.52,77361
2025-05-05,112.52,114.59,111.98,114.04,116757
2025-05-06,114.04,115.62,113.86,115.28,238524
2025-05-07,115.28,115.59,112.07,112.37,96528
2025-05-08,112.37,113.41,111.36,112.89,155978
2025-05-09,112.89,114.59,112.07,113.68,66799
2025-05-12,113.68,114.14,112.31,112.89,112839
2025-05-13,112.89,113.52,111.7,112.07,222339
2025-05-14,112.07,112.33,111.16,111.24,71983
2025-05-15,111.24,111.41,106.85,107.53,171093
2025-05-16,107.53,109.93,107.21,108.74,221899
2025-05-19,108.74,108.82,106.26,106.41,186006
2025-05-20,106.41,107.25,103.26,104.34,104355
2025-05-21,104.34,105.22,104.04,104.44,197089
2025-05-22,104.44,105.03,104.06,105.02,162462
2025-05-23,105.02,106.27,104.5,106.23,179610
2025-05-26,106.23,106.99,105.71,106.91,212110
2025-05-27,106.91,107.57,104.59,104.68,210238
2025-05-28,104.68,106.3,104.55,105.7,101205
2025-05-29,105.7,106.23,105.53,105.86,169248
2025-05-30,105.86,107.87,105.36,107.86,60415
2025-06-02,107.86,108.18,105.29,105.93,208693
2025-06-03,105.93,106.62,105.43,106.0,155505
2025-06-04,106.0,107.37,105.91,106.24,111420
2025-06-05,106.24,107.56,106.1,107.31,135525
2025-06-06,107.31,111.76,106.36,111.72,137599
2025-06-09,111.72,112.67,110.02,111.66,169613
2025-06-10,111.66,113.63,110.94,113.14,149938
2025-06-11,113.14,115.35,112.93,114.07,145721
2025-06-12,114.07,114.28,112.42,112.75,219960
2025-06-13,112.75,112.9,108.48,109.91,84352
2025-06-16,109.91,114.83,109.02,113.53,93038
2025-06-17,113.53,114.35,112.47,113.89,246004
2025-06-18,113.89,114.38,110.96,111.47,99029
2025-06-19,111.47,112.03,108.44,108.7,124254
2025-06-20,108.7,110.95,108.58,110.39,190416
2025-06-23,110.39,111.3,110.07,111.21,198031
2025-06-24,111.21,112.17,110.4,110.69,54641
2025-06-25,110.69,110.72,108.74,108.86,105855
2025-06-26,108.86,109.76,108.16,109.19,166484
2025-06-27,109.19,112.3,108.62,111.13,87758
2025-06-30,111.13,113.52,109.63,112.27,176417
2025-07-01,112.27,115.05,111.88,113.71,89756
2025-07-02,113.71,114.01,110.8,111.93,148350
2025-07-03,111.93,116.87,110.77,116.59,158534
2025-07-04,116.59,117.01,111.76,111.81,147333
2025-07-07,111.81,114.2,111.07,113.61,205467
2025-07-08,113.61,113.98,110.11,111.06,96179
2025-07-09,111.06,111.53,110.88,111.25,188144
2025-07-10,111.25,111.6,110.71,111.56,51959
2025-07-11,111.56,112.24,108.97,109.14,121148
2025-07-14,109.14,109.43,107.3,108.11,189509
2025-07-15,108.11,111.69,108.04,110.51,179328
2025-07-16,110.51,110.94,109.63,110.78,159414
2025-07-17,110.78,113.64,110.64,112.21,171870
2025-07-18,112.21,112.86,107.27,108.29,162451
2025-07-21,108.29,110.03,107.95,109.5,232826
2025-07-22,109.5,109.94,108.62,109.42,53895
2025-07-23,109.42,109.63,108.53,109.4,52283
2025-07-24,109.4,109.55,108.87,109.16,124783
2025-07-25,109.16,111.72,108.84,111.13,103182
2025-07-28,111.13,111.78,110.21,110.68,69037
2025-07-29,110.68,111.28,107.04,109.07,174040
2025-07-30,109.07,110.86,108.44,108.58,150901
2025-07-31,108.58,109.49,107.56,108.6,189540
2025-08-01,108.6,111.04,107.93,110.12,186016
2025-08-04,110.12,110.77,109.36,109.98,102104
2025-08-05,109.98,110.43,107.62,108.15,71403
2025-08-06,108.15,112.05,107.46,111.86,153525
2025-08-07,111.86,112.02,109.96,110.81,130992
2025-08-08,110.81,111.53,108.66,109.83,226448
2025-08-11,109.83,113.03,109.76,112.11,219316
2025-08-12,112.11,112.61,110.07,110.32,178585
2025-08-13,110.32,111.79,109.43,109.79,138382
2025-08-14,109.79,111.82,109.65,111.23,224155
2025-08-15,111.23,113.2,110.61,112.37,57026
2025-08-18,112.37,113.61,108.77,108.9,118328
2025-08-19,108.9,110.56,105.26,105.53,117497
2025-08-20,105.53,106.84,104.64,106.59,209506
2025-08-21,106.59,108.48,106.05,107.76,213700
2025-08-22,107.76,108.62,105.66,106.53,226459
2025-08-25,106.53,109.79,106.46,108.35,139015
2025-08-26,108.35,108.44,105.43,105.59,123023
2025-08-27,105.59,106.35,101.94,102.8,164989
2025-08-28,102.8,102.91,101.51,101.65,70782
2025-08-29,101.65,102.16,98.28,98.98,102695
2025-09-01,98.98,102.07,98.93,101.92,174917
2025-09-02,101.92,105.76,101.61,105.65,207536
2025-09-03,105.65,108.51,105.6,108.37,192229
2025-09-04,108.37,108.91,106.65,107.02,185258
2025-09-05,107.02,108.48,102.25,103.63,169397
2025-09-08,103.63,104.64,103.23,104.35,80524
2025-09-09,104.35,104.47,101.15,102.5,106108
2025-09-10,102.5,103.56,102.09,103.35,189912
2025-09-11,103.35,105.07,103.1,105.05,83769
2025-09-12,105.05,105.5,102.57,103.03,226859
2025-09-15,103.03,104.52,102.99,103.51,217906
2025-09-16,103.51,103.75,100.58,100.9,213536
2025-09-17,100.9,101.32,100.4,101.04,146236
2025-09-18,101.04,101.76,98.67,99.98,129631
2025-09-19,99.98,101.01,99.73,100.39,168261
2025-09-22,100.39,100.61,97.75,98.23,187471
2025-09-23,98.23,99.34,97.92,98.37,206341
2025-09-24,98.37,100.63,97.62,100.28,167110
2025-09-25,100.28,105.07,100.08,103.72,184173
2025-09-26,103.72,103.9,102.24,102.86,59453
2025-09-29,102.86,103.11,100.99,101.45,58619
2025-09-30,101.45,105.9,101.19,105.47,228857
2025-10-01,105.47,105.51,103.57,104.46,67849
2025-10-02,104.46,106.21,104.43,106.13,118713
2025-10-03,106.13,106.74,105.13,105.6,220150
2025-10-06,105.6,111.75,103.99,111.74,185556
2025-10-07,111.74,113.18,110.86,112.92,141703
2025-10-08,112.92,113.45,108.88,109.64,219749
2025-10-09,109.64,109.87,109.23,109.63,151370
2025-10-10,109.63,110.09,106.47,107.3,247302
2025-10-13,107.3,108.07,106.93,107.48,94557
2025-10-14,107.48,109.67,106.8,109.41,214359
2025-10-15,109.41,110.36,108.62,110.16,131945
2025-10-16,110.16,111.93,109.16,111.55,227870
2025-10-17,111.55,112.7,110.75,112.07,99750
2025-10-20,112.07,112.61,111.52,111.8,133786
2025-10-21,111.8,113.18,108.12,108.44,59941
2025-10-22,108.44,109.25,103.85,104.22,133585
2025-10-23,104.22,106.81,103.0,103.29,122880
2025-10-24,103.29,104.65,102.84,103.64,134282
2025-10-27,103.64,104.82,102.79,104.7,214979
2025-10-28,104.7,104.85,102.73,103.11,151762
2025-10-29,103.11,103.61,102.76,103.02,187094
2025-10-30,103.02,103.87,102.58,103.23,188617
2025-10-31,103.23,104.16,101.74,101.83,62074
2025-11-03,101.83,102.46,98.74,99.48,142722
2025-11-04,99.48,100.38,98.41,100.0,102977
2025-11-05,100.0,100.17,96.65,97.4,54645
2025-11-06,97.4,97.97,95.55,96.87,220312
2025-11-07,96.87,97.79,95.66,97.72,154621
2025-11-10,97.72,99.42,97.18,98.77,215057
2025-11-11,98.77,99.61,97.79,97.96,95119
2025-11-12,97.96,98.98,97.57,98.94,214464
2025-11-13,98.94,99.83,98.57,99.36,97133
2025-11-14,99.36,99.88,99.36,99.47,241153
2025-11-17,99.47,100.51,99.47,100.41,73767
2025-11-18,100.41,101.87,99.56,101.03,184509
2025-11-19,101.03,102.47,100.28,101.87,125828
2025-11-20,101.87,104.07,101.16,103.9,222550
2025-11-21,103.9,103.93,103.26,103.43,132913
2025-11-24,103.43,103.77,102.52,102.55,124198
2025-11-25,102.55,102.74,100.94,101.37,205699
2025-11-26,101.37,102.57,100.77,102.05,228420
2025-11-27,102.05,102.95,101.34,102.0,122347
2025-11-28,102.0,102.02,101.45,101.98,193489
2025-12-01,101.98,102.54,100.13,100.65,84250
2025-12-02,100.65,102.15,100.27,101.2,186932
2025-12-03,101.2,104.34,100.11,103.91,98628
2025-12-04,103.91,104.3,101.47,102.18,116774
2025-12-05,102.18,103.82,101.75,102.81,167729
2025-12-08,102.81,102.98,101.49,101.87,225155
2025-12-09,101.87,104.17,101.87,103.73,169379
2025-12-10,103.73,105.44,102.8,105.05,167643
2025-12-11,105.05,105.15,103.8,104.07,237563
2025-12-12,104.07,105.43,103.29,104.85,206075
2025-12-15,104.85,105.8,104.33,105.56,133882
2025-12-16,105.56,105.79,102.37,103.32,244924
2025-12-17,103.32,104.89,103.18,104.24,52215
